pais,category,measure,despai
ARG,Hombre,0.56,Argentina
ARG,Mujer,0.31,Argentina
ARG,Otro,0.13,Argentina
AUS,Hombre,0.49,Australia
AUS,Mujer,0.36,Australia
AUS,Otro,0.15,Australia
AUT,Hombre,0.47,Austria
AUT,Mujer,0.45,Austria
AUT,Otro,0.08,Austria
BEL,Hombre,0.45,Belgica
BEL,Mujer,0.49,Belgica
BEL,Otro,0.06,Belgica
BLR,Hombre,0.75,Belorusia
BLR,Mujer,0.25,Belorusia
BLR,Otro,0,Belorusia
BOL,Hombre,0.57,Bolivia
BOL,Mujer,0.31,Bolivia
BOL,Otro,0.12,Bolivia
BRA,Hombre,0.23,Brasil
BRA,Mujer,0.12,Brasil
BRA,Otro,0.66,Brasil
CAN,Hombre,0.39,Canada
CAN,Mujer,0.31,Canada
CAN,Otro,0.3,Canada
CHL,Hombre,0.26,Chile
CHL,Mujer,0.13,Chile
CHL,Otro,0.61,Chile
CHN,Hombre,0.35,China
CHN,Mujer,0.16,China
CHN,Otro,0.49,China
COL,Hombre,0.6,Colombia
COL,Mujer,0.37,Colombia
COL,Otro,0.04,Colombia
CRI,Hombre,0.59,Costa Rica
CRI,Mujer,0.34,Costa Rica
CRI,Otro,0.07,Costa Rica
CUB,Hombre,0.25,Cuba
CUB,Mujer,0.24,Cuba
CUB,Otro,0.51,Cuba
DEU,Hombre,0.34,Alemania
DEU,Mujer,0.52,Alemania
DEU,Otro,0.15,Alemania
DOM,Hombre,0.62,Republica Dominicana
DOM,Mujer,0.28,Republica Dominicana
DOM,Otro,0.1,Republica Dominicana
ECU,Hombre,0.36,Ecuador
ECU,Mujer,0.29,Ecuador
ECU,Otro,0.35,Ecuador
EGY,Hombre,0.33,Egipto
EGY,Mujer,0.14,Egipto
EGY,Otro,0.53,Egipto
ESP,Hombre,0.51,Espana
ESP,Mujer,0.44,Espana
ESP,Otro,0.05,Espana
ETH,Hombre,0.73,Ethiopia
ETH,Mujer,0.23,Ethiopia
ETH,Otro,0.03,Ethiopia
FRA,Hombre,0.37,Francia
FRA,Mujer,0.36,Francia
FRA,Otro,0.27,Francia
GTM,Hombre,0.41,Guatemala
GTM,Mujer,0.18,Guatemala
GTM,Otro,0.42,Guatemala
HND,Hombre,0.53,Honduras
HND,Mujer,0.45,Honduras
HND,Otro,0.02,Honduras
HUN,Hombre,0.6,Ungria
HUN,Mujer,0.38,Ungria
HUN,Otro,0.01,Ungria
IDN,Hombre,0.27,Indonesia
IDN,Mujer,0.17,Indonesia
IDN,Otro,0.56,Indonesia
IND,Hombre,0.4,India
IND,Mujer,0.1,India
IND,Otro,0.5,India
ISR,Hombre,0.56,Israel
ISR,Mujer,0.31,Israel
ISR,Otro,0.12,Israel
ITA,Hombre,0.43,Italia
ITA,Mujer,0.49,Italia
ITA,Otro,0.08,Italia
KOR,Hombre,0.51,Corea
KOR,Mujer,0.18,Corea
KOR,Otro,0.31,Corea
MEX,Hombre,0.53,Mexico
MEX,Mujer,0.22,Mexico
MEX,Otro,0.25,Mexico
MYS,Hombre,0.31,Malasia
MYS,Mujer,0.1,Malasia
MYS,Otro,0.59,Malasia
NER,Hombre,0.75,Nigeria
NER,Mujer,0.19,Nigeria
NER,Otro,0.06,Nigeria
NIC,Hombre,0.52,Nicaragua
NIC,Mujer,0.36,Nicaragua
NIC,Otro,0.12,Nicaragua
NLD,Hombre,0.47,Holanda
NLD,Mujer,0.4,Holanda
NLD,Otro,0.13,Holanda
PAN,Hombre,0.39,Panama
PAN,Mujer,0.21,Panama
PAN,Otro,0.4,Panama
PER,Hombre,0.63,Peru
PER,Mujer,0.23,Peru
PER,Otro,0.14,Peru
POL,Hombre,0.42,Polonia
POL,Mujer,0.3,Polonia
POL,Otro,0.27,Polonia
PRT,Hombre,0.45,Portugal
PRT,Mujer,0.47,Portugal
PRT,Otro,0.08,Portugal
PRY,Hombre,0.4,Paraguay
PRY,Mujer,0.28,Paraguay
PRY,Otro,0.32,Paraguay
QAT,Hombre,0.33,Qatar
QAT,Mujer,0.12,Qatar
QAT,Otro,0.55,Qatar
RUS,Hombre,0.42,Rusia
RUS,Mujer,0.19,Rusia
RUS,Otro,0.39,Rusia
SGP,Hombre,0.32,Singapur
SGP,Mujer,0.1,Singapur
SGP,Otro,0.58,Singapur
SLV,Hombre,0.38,El Salvador
SLV,Mujer,0.21,El Salvador
SLV,Otro,0.41,El Salvador
SWE,Hombre,0.42,Suecia
SWE,Mujer,0.5,Suecia
SWE,Otro,0.09,Suecia
SWZ,Hombre,0.44,Suiza
SWZ,Mujer,0.46,Suiza
SWZ,Otro,0.1,Suiza
Todos,Hombre,0.39,Todos
Todos,Mujer,0.3,Todos
Todos,Otro,0.31,Todos
TUR,Hombre,0.89,Turkia
TUR,Mujer,0.09,Turkia
TUR,Otro,0.03,Turkia
URY,Hombre,0.64,Uruguay
URY,Mujer,0.3,Uruguay
URY,Otro,0.07,Uruguay
USA,Hombre,0.62,EEUU
USA,Mujer,0.35,EEUU
USA,Otro,0.04,EEUU
VEN,Hombre,0.44,Venezuela
VEN,Mujer,0.33,Venezuela
VEN,Otro,0.23,Venezuela
ZAF,Hombre,0.62,Sudafirca
ZAF,Mujer,0.32,Sudafirca
ZAF,Otro,0.06,Sudafirca
