OBJECTID,ISO_3DIGIT,Pais,Species
1,ARG,Argentina,6391
2,AUS,Australia,989
3,AUT,Austria,603
4,BEL,Belgica,3608
5,BLR,Belorusia,16
6,BOL,Bolivia,4435
7,BRA,Brasil,18985
8,CAN,Canada,16805
9,CHL,Chile,29610
10,CHN,China,79889
11,COL,Colombia,18887
12,CRI,Costa Rica,1631
13,CUB,Cuba,87359
14,DEU,Alemania,5866
15,DOM,Republica Dominicana,759
16,ECU,Ecuador,3500449
17,EGY,Egipto,2594
18,ESP,España,141534
19,ETH,Ethiopia,116
20,FRA,Francia,7410
21,GTM,Guatemala,2706
22,HND,Honduras,492
23,HUN,Ungria,415
24,IDN,Indonesia,1096
25,IND,India,6065
26,ISR,Israel,626
27,ITA,Italia,68204
28,KOR,Corea,2670
29,MEX,Mexico,8852
30,MYS,Malasia,994
31,NER,Nigeria,725
32,NIC,Nicaragua,259
33,NLD,Holanda,2627
34,PAN,Panama,5052
35,PER,Peru,14616
36,POL,Polonia,106
37,PRT,Portugal,60
38,PRY,Paraguay,1103
39,QAT,Qatar,851
40,RUS,Rusia,2979
41,SGP,Singapur,262
42,SLV,El Salvador,517
43,SWE,Suecia,1365
44,SWZ,Suiza,5185
45,TUR,Turkia,35
46,URY,Uruguay,592
47,USA,EEUU,398048
48,VEN,Venezuela,17130
49,ZAF,Sudafirca,704
